race_slug,race_id,driver_id,finishing_position,starting_position,car_number,status,laps,notes
2002-legends-75,,22477,8,,,,,
2002-legends-75,,23301,9,,,,,
2002-legends-75,,13732,10,,,,,
2002-legends-75,,19584,11,,,,,
2002-legends-75,,11765,12,,,,,
2002-legends-75,,3355,13,,,,,
2002-legends-75,,7519,14,,,,,
2002-legends-75,,15732,15,,,,,
2002-legends-75,,4194,16,,,,,
2002-legends-75,,15955,17,,,,,
2002-legends-75,,10667,18,,,,,
2002-legends-75,,4481,19,,,,,
2002-legends-75,,2665,20,,,,,
2002-legends-75,,5869,21,,,,,
2002-legends-75,,17512,22,,,,,
2002-legends-75,,3993,23,,,,,
2002-championship-100,,14762,1,,,,,
2002-championship-100,,23035,2,,,,,
2002-championship-100,,22477,3,,,,,
2002-championship-100,,17512,4,,,,,
2002-championship-100,,10910,5,,,,,
2002-championship-100,,2469,6,,,,,
2002-championship-100,,8314,7,,,,,
2002-championship-100,,15866,8,,,,,
2002-championship-100,,14187,9,,,,,
2002-championship-100,,22013,10,,,,,
2002-championship-100,,19584,11,,,,,
2002-championship-100,,8715,12,,,,,
2002-championship-100,,10667,13,,,,,
2002-championship-100,,4194,14,,,,,
2002-championship-100,,516,15,,,,,
2002-championship-100,,8526,16,,,,,
2002-championship-100,,13983,17,,,,,
2002-championship-100,,7419,18,,,,,
2002-championship-100,,2370,19,,,,,
2002-championship-100,,5452,20,,,,,
2002-championship-100,,1772,21,,,,,
2002-championship-100,,null,22,,,,,
2003-charter-communications-100,,14363,1,,,,,
2003-charter-communications-100,,5843,2,,,,,
2003-charter-communications-100,,603,3,,,,,
2003-charter-communications-100,,8314,4,,,,,
2003-charter-communications-100,,14762,5,,,,,
2003-charter-communications-100,,2469,6,,,,,
2003-charter-communications-100,,4194,7,,,,,
2003-charter-communications-100,,17512,8,,,,,
2003-charter-communications-100,,19086,9,,,,,
2003-charter-communications-100,,21594,10,,,,,
2003-charter-communications-100,,14187,11,,,,,
2003-charter-communications-100,,5981,12,,,,,
