source_series_slug,source_season_year,source_race_number,source_url,race_date,track_name,track_slug,class_name,event_slug,finishing_position,driver_name_raw,driver_name_clean,driver_slug_guess,matched_driver_id,matched_driver_name,match_status,notes
wisconsin-challenge-series,2001,2,,"August 5, 2001",Golden Sands Raceway,golden-sands-raceway,Super Late Model,2001-reffner-race-88,17,Chris Weinkauf,Chris Weinkauf,chris-weinkauf,4194,Chris Weinkauf,matched,
wisconsin-challenge-series,2001,2,,"August 5, 2001",Golden Sands Raceway,golden-sands-raceway,Super Late Model,2001-reffner-race-88,18,Bryan Roach,Bryan Roach,bryan-roach,3215,Bryan Roach,matched,
wisconsin-challenge-series,2001,2,,"August 5, 2001",Golden Sands Raceway,golden-sands-raceway,Super Late Model,2001-reffner-race-88,19,Jeremy Lepak,Jeremy Lepak,jeremy-lepak,11210,Jeremy Lepak,matched,
wisconsin-challenge-series,2001,2,,"August 5, 2001",Golden Sands Raceway,golden-sands-raceway,Super Late Model,2001-reffner-race-88,20,Jason Weinkauf,Jason Weinkauf,jason-weinkauf,10667,Jason Weinkauf,matched,
wisconsin-challenge-series,2001,2,,"August 5, 2001",Golden Sands Raceway,golden-sands-raceway,Super Late Model,2001-reffner-race-88,21,Jesse Haase,Jesse Haase,jesse-haase,11624,Jesse Haase,matched,
wisconsin-challenge-series,2001,2,,"August 5, 2001",Golden Sands Raceway,golden-sands-raceway,Super Late Model,2001-reffner-race-88,22,Terry Schoppenhorst,Terry Schoppenhorst,terry-schoppenhorst,22013,Terry Schoppenhorst,matched,
wisconsin-challenge-series,2001,3,,"September 3, 2001",Dells Raceway Park,dells-raceway-park,Super Late Model,2001-dick-trickle-99,1,Rocky Breezer,Rocky Breezer,rocky-breezer,19584,Rocky Breezer,matched,
wisconsin-challenge-series,2001,3,,"September 3, 2001",Dells Raceway Park,dells-raceway-park,Super Late Model,2001-dick-trickle-99,2,Don Turner,Don Turner,don-turner,7419,Don Turner,matched,
wisconsin-challenge-series,2001,3,,"September 3, 2001",Dells Raceway Park,dells-raceway-park,Super Late Model,2001-dick-trickle-99,3,Mark Eswein,Mark Eswein,mark-eswein,15866,Mark Eswein,matched,
wisconsin-challenge-series,2001,3,,"September 3, 2001",Dells Raceway Park,dells-raceway-park,Super Late Model,2001-dick-trickle-99,4,Jim Carlson,Jim Carlson,jim-carlson,11765,Jim Carlson,matched,
wisconsin-challenge-series,2001,3,,"September 3, 2001",Dells Raceway Park,dells-raceway-park,Super Late Model,2001-dick-trickle-99,5,Allen Check,Allen Check,allen-check,516,Allen Check,matched,
wisconsin-challenge-series,2001,3,,"September 3, 2001",Dells Raceway Park,dells-raceway-park,Super Late Model,2001-dick-trickle-99,6,Andrew Morrissey,Andrew Morrissey,andrew-morrissey,603,Andrew Morrissey,matched,
wisconsin-challenge-series,2001,3,,"September 3, 2001",Dells Raceway Park,dells-raceway-park,Super Late Model,2001-dick-trickle-99,7,Kyle Kinder,Kyle Kinder,kyle-kinder,14762,Kyle Kinder,matched,
wisconsin-challenge-series,2001,3,,"September 3, 2001",Dells Raceway Park,dells-raceway-park,Super Late Model,2001-dick-trickle-99,8,Jesse Haase,Jesse Haase,jesse-haase,11624,Jesse Haase,matched,
wisconsin-challenge-series,2001,3,,"September 3, 2001",Dells Raceway Park,dells-raceway-park,Super Late Model,2001-dick-trickle-99,9,Bob Campbell,Bob Campbell,bob-campbell,1772,Bob Campbell,matched,
wisconsin-challenge-series,2001,3,,"September 3, 2001",Dells Raceway Park,dells-raceway-park,Super Late Model,2001-dick-trickle-99,10,Kenny Reiser,Kenny Reiser,kenny-reiser,14187,Ken Reiser,alias_matched,
wisconsin-challenge-series,2001,3,,"September 3, 2001",Dells Raceway Park,dells-raceway-park,Super Late Model,2001-dick-trickle-99,11,Matt Kocourek,Matt Kocourek,matt-kocourek,16295,Matt Kocourek,matched,
wisconsin-challenge-series,2001,3,,"September 3, 2001",Dells Raceway Park,dells-raceway-park,Super Late Model,2001-dick-trickle-99,12,Frank Kreyer,Frank Kreyer,frank-kreyer,8526,Frank Kreyer,matched,
