series_event_id,finishing_position,starting_position,car_number,driver_id,driver_name,driver_slug,sponsor,make,laps,led,status,points,result_section,source_url
260,10,,,8079,Eddie Hoffman,eddie-hoffman,,,,,,,feature,
260,11,,,22477,Todd Stapleman,todd-stapleman,,,,,,,feature,
260,12,,,11210,Jeremy Lepak,jeremy-lepak,,,,,,,feature,
260,13,,,10667,Jason Weinkauf,jason-weinkauf,,,,,,,feature,
260,14,,,14573,Kirby Kurth,kirby-kurth,,,,,,,feature,
260,15,,,3880,Charlie Menard,charlie-menard,,,,,,,feature,
260,16,,,8526,Frank Kreyer,frank-kreyer,,,,,,,feature,
260,17,,,19001,"Rich Schumann, Jr.",rich-schumann-jr,,,,,,,feature,
260,18,,,5276,Dan Howard,dan-howard,,,,,,,feature,
260,19,,,23095,Travis Dassow,travis-dassow,,,,,,,feature,
260,20,,,14187,Ken Reiser,kenny-reiser,,,,,,,feature,
260,21,,,5869,Dave Gawronski,dave-gawronski,,,,,,,feature,
260,22,,,13983,Kelly Bires,kelly-bires,,,,,,,feature,
260,23,,,7419,Don Turner,don-turner,,,,,,,feature,
261,1,,,11096,Jeff Weinfurter,jeff-weinfurter,,,,,,,feature,
261,2,,,8715,Gary Back,gary-back,,,,,,,feature,
261,3,,,516,Allen Check,allen-check,,,,,,,feature,
261,4,,,11210,Jeremy Lepak,jeremy-lepak,,,,,,,feature,
261,5,,,15866,Mark Eswein,mark-eswein,,,,,,,feature,
261,6,,,14187,Ken Reiser,kenny-reiser,,,,,,,feature,
261,7,,,14762,Kyle Kinder,kyle-kinder,,,,,,,feature,
261,8,,,22477,Todd Stapleman,todd-stapleman,,,,,,,feature,
261,9,,,23301,Troy Nelson,troy-nelson,,,,,,,feature,
261,10,,,13732,Justin Hirt,justin-hirt,,,,,,,feature,
261,11,,,19584,Rocky Breezer,rocky-breezer,,,,,,,feature,
261,12,,,11765,Jim Carlson,jim-carlson,,,,,,,feature,
261,13,,,3355,Burton Brown,burton-brown,,,,,,,feature,
261,14,,,7519,Doug Drost,doug-drost,,,,,,,feature,
261,15,,,15732,M.G. Gajewski,m-g-gajewski,,,,,,,feature,
261,16,,,4194,Chris Weinkauf,chris-weinkauf,,,,,,,feature,
261,17,,,15955,Mark Mackesy,mark-mackesy,,,,,,,feature,
261,18,,,10667,Jason Weinkauf,jason-weinkauf,,,,,,,feature,
261,19,,,4481,Clint Sillars,clint-sillars,,,,,,,feature,
261,20,,,2665,Brandon Selle,brandon-selle,,,,,,,feature,
261,21,,,5869,Dave Gawronski,dave-gawronski,,,,,,,feature,
261,22,,,17512,Nathan Haseleu,nathan-haseleu,,,,,,,feature,
261,23,,,3993,Chris Bires,chris-bires,,,,,,,feature,
262,1,,,14762,Kyle Kinder,kyle-kinder,,,,,,,feature,
262,2,,,23035,Tony Strupp,tony-strupp,,,,,,,feature,
262,3,,,22477,Todd Stapleman,todd-stapleman,,,,,,,feature,
262,4,,,17512,Nathan Haseleu,nathan-haseleu,,,,,,,feature,
262,5,,,10910,Jeff Kendall,jeff-kendall,,,,,,,feature,
262,6,,,2469,Brad Mueller,brad-mueller,,,,,,,feature,
262,7,,,8314,Erik Darnell,erik-darnell,,,,,,,feature,
262,8,,,15866,Mark Eswein,mark-eswein,,,,,,,feature,
262,9,,,14187,Ken Reiser,kenny-reiser,,,,,,,feature,
262,10,,,22013,Terry Schoppenhorst,terry-schoppenhorst,,,,,,,feature,
262,11,,,19584,Rocky Breezer,rocky-breezer,,,,,,,feature,
262,12,,,8715,Gary Back,gary-back,,,,,,,feature,
262,13,,,10667,Jason Weinkauf,jason-weinkauf,,,,,,,feature,
262,14,,,4194,Chris Weinkauf,chris-weinkauf,,,,,,,feature,
262,15,,,516,Allen Check,allen-check,,,,,,,feature,
262,16,,,8526,Frank Kreyer,frank-kreyer,,,,,,,feature,
