series_slug,series_name,season_year,race_number,race_date,race_date_raw,race_name,race_url,track_display,track_url,winner_name,winner_url,source_file
wisconsin-challenge-series,Wisconsin Challenge Series,2005,1,2005-04-09,9 April 2005,1,https://www.thethirdturn.com/wiki/2005_New_Beginnings_100_presented_by_Pickett_Septic,"Wisconsin Dells, WI",https://www.thethirdturn.com/wiki/Dells_Raceway_Park,Charlie Menard,https://www.thethirdturn.com/wiki/Charlie_Menard,2005_wisconsin_challenge_series.html
wisconsin-challenge-series,Wisconsin Challenge Series,2005,2,2005-05-15,15 May 2005,2,https://www.thethirdturn.com/wiki/2005_Bud_Spring_Classic,"Kaukauna, WI",https://www.thethirdturn.com/wiki/Wisconsin_International_Raceway,Nathan Haseleu,https://www.thethirdturn.com/wiki/Nathan_Haseleu,2005_wisconsin_challenge_series.html
wisconsin-challenge-series,Wisconsin Challenge Series,2005,3,2005-05-21,21 May 2005,3,https://www.thethirdturn.com/wiki/2005_Star_Packaging_100,"Cambridge, WI",https://www.thethirdturn.com/wiki/Jefferson_Speedway,Erik Darnell,https://www.thethirdturn.com/wiki/Erik_Darnell,2005_wisconsin_challenge_series.html
wisconsin-challenge-series,Wisconsin Challenge Series,2005,4,2005-05-29,29 May 2005,4,https://www.thethirdturn.com/wiki/2005_Memorial_100,"Plover, WI",https://www.thethirdturn.com/wiki/Golden_Sands_Speedway,Jeff Kendall,https://www.thethirdturn.com/wiki/Jeff_Kendall,2005_wisconsin_challenge_series.html
wisconsin-challenge-series,Wisconsin Challenge Series,2005,5,2005-06-21,21 June 2005,5,https://www.thethirdturn.com/wiki/2005_FMP_All-Star_Challenge,"Kaukauna, WI",https://www.thethirdturn.com/wiki/Wisconsin_International_Raceway,Jeff Van Oudenhoven,https://www.thethirdturn.com/wiki/Jeff_Van_Oudenhoven,2005_wisconsin_challenge_series.html
wisconsin-challenge-series,Wisconsin Challenge Series,2005,6,2005-07-02,2 July 2005,6,https://www.thethirdturn.com/wiki/2005_North_American_Cup,"Wisconsin Dells, WI",https://www.thethirdturn.com/wiki/Dells_Raceway_Park,Dexter Bean,https://www.thethirdturn.com/wiki/Dexter_Bean,2005_wisconsin_challenge_series.html
wisconsin-challenge-series,Wisconsin Challenge Series,2005,7,2005-07-16,16 July 2005,7,https://www.thethirdturn.com/wiki/2005_Thomas_Electric_80,"Marshfield, WI",https://www.thethirdturn.com/wiki/Marshfield_Motor_Speedway,Nathan Haseleu,https://www.thethirdturn.com/wiki/Nathan_Haseleu,2005_wisconsin_challenge_series.html
wisconsin-challenge-series,Wisconsin Challenge Series,2005,8,2005-07-29,29 July 2005,8,https://www.thethirdturn.com/wiki/2005_Power_Playground_100,"Plover, WI",https://www.thethirdturn.com/wiki/Golden_Sands_Speedway,Nathan Haseleu,https://www.thethirdturn.com/wiki/Nathan_Haseleu,2005_wisconsin_challenge_series.html
wisconsin-challenge-series,Wisconsin Challenge Series,2005,9,2005-09-10,10 September 2005,9,https://www.thethirdturn.com/wiki/2005_Championship_80,"Marshfield, WI",https://www.thethirdturn.com/wiki/Marshfield_Motor_Speedway,"Eugene Gregorich, Jr.","https://www.thethirdturn.com/wiki/Eugene_Gregorich,_Jr.",2005_wisconsin_challenge_series.html
wisconsin-challenge-series,Wisconsin Challenge Series,2006,1,2006-04-02,2 April 2006,1,https://www.thethirdturn.com/wiki/2006_Spring_Classic_presented_by_International_Truck_and_Yellow_Book,"Loves Park, IL",https://www.thethirdturn.com/wiki/Rockford_Speedway,Steve Rubeck,https://www.thethirdturn.com/wiki/Steve_Rubeck,2006_wisconsin_challenge_series.html
