source_driver_name,alias_driver_name,museum_driver_name,driver_id,driver_slug,match_status,review_action,notes
Dan Konieczy,,Dan Konieczy,,dan-konieczy,,,
Dan O'Dell,,Dan O'Dell,,dan-odell,,,
Dan Odel,,Dan Odel,,dan-odel,,,
Dan Prziborowski,,Dan Prziborowski,,dan-prziborowski,,,
Dan Shewmake,,Dan Shewmake,,dan-shewmake,,,
Dan Young,,Dan Young,,dan-young,,,
Danny Darnell,,Danny Darnell,,danny-darnell,,,
Danny Duke,,Danny Duke,,danny-duke,,,
Danny Prziborowski,,Danny Prziborowski,,danny-prziborowski,,,
Darrell Waltrip,,Darrell Waltrip,,darrell-waltrip,,,
Dave Cox,,Dave Cox,,dave-cox,,,
Dave Evans (IL),,Dave Evans (IL),,dave-evans-il,,,
Dave Feiler,,Dave Feiler,,dave-feiler,,,
Dave Fossum,,Dave Fossum,,dave-fossum,,,
Dave Gawronski,,Dave Gawronski,,dave-gawronski,,,
Dave Hammond,,Dave Hammond,,dave-hammond,,,
Dave Hatcher,,Dave Hatcher,,dave-hatcher,,,
Dave Isen,,Dave Isen,,dave-isen,,,
Dave Jackson,,Dave Jackson,,dave-jackson,,,
Dave Klein,,Dave Klein,,dave-klein,,,
Dave Magnus,,Dave Magnus,,dave-magnus,,,
Dave Nelson,,Dave Nelson,,dave-nelson,,,
Dave Noble,,Dave Noble,,dave-noble,,,
Dave Price,,Dave Price,,dave-price,,,
Dave Reid,,Dave Reid,,dave-reid,,,
Dave Roahrig,,Dave Roahrig,,dave-roahrig,,,
Dave Schmitt,,Dave Schmitt,,dave-schmitt,,,
Dave Selck,,Dave Selck,,dave-selck,,,
Dave Sensiba,,Dave Sensiba,,dave-sensiba,,,
Dave Taylor,,Dave Taylor,,dave-taylor,,,
Dave Valentyne,,Dave Valentyne,,dave-valentyne,,,
Dave Watson,,Dave Watson,,dave-watson,,,
Dave Weltmeyer,,Dave Weltmeyer,,dave-weltmeyer,,,
David Anspaugh,,David Anspaugh,,david-anspaugh,,,
David Bates,,David Bates,,david-bates,,,
David Duckworth,,David Duckworth,,david-duckworth,,,
David Nauman,,David Nauman,,david-nauman,,,
David Nelson,,David Nelson,,david-nelson,,,
David Simko,,David Simko,,david-simko,,,
David Tomczak,,David Tomczak,,david-tomczak,,,
DeWaine McGunegill,,DeWaine McGunegill,,dewaine-mcgunegill,,,
Deb Langsdorf,,Deb Langsdorf,,deb-langsdorf,,,
Debbie Nash,,Debbie Nash,,debbie-nash,,,
Dennis Aho,,Dennis Aho,,dennis-aho,,,
Dennis Berry,,Dennis Berry,,dennis-berry,,,
Dennis Byrne,,Dennis Byrne,,dennis-byrne,,,
Dennis Carlson,,Dennis Carlson,,dennis-carlson,,,
Dennis James,,Dennis James,,dennis-james,,,
Dennis Lampman,,Dennis Lampman,,dennis-lampman,,,
Dennis Lockhart,,Dennis Lockhart,,dennis-lockhart,,,
Dennis Martin (FL),,Dennis Martin (FL),,dennis-martin-fl,,,
Dennis Miller,,Dennis Miller,,dennis-miller,,,
Dennis Nyari,,Dennis Nyari,,dennis-nyari,,,
Dennis Vogel,,Dennis Vogel,,dennis-vogel,,,
Denny James,,Denny James,,denny-james,,,
Denny Paasch,,Denny Paasch,,denny-paasch,,,
Dick Baker,,Dick Baker,,dick-baker,,,
Dick Barker,,Dick Barker,,dick-barker,,,
Dick Harrington,,Dick Harrington,,dick-harrington,,,
Dick Kirkman,,Dick Kirkman,,dick-kirkman,,,
Dick Stang,,Dick Stang,,dick-stang,,,
Dick Trickle,,Dick Trickle,,dick-trickle,,,
Don Anderson,,Don Anderson,,don-anderson,,,
Don Biederman,,Don Biederman,,don-biederman,,,
Don Collins,,Don Collins,,don-collins,,,
Don Crnkovich,,Don Crnkovich,,don-crnkovich,,,
Don James,,Don James,,don-james,,,
Don Leach,,Don Leach,,don-leach,,,
Don Mallat,,Don Mallat,,don-mallat,,,
Don Marcis,,Don Marcis,,don-marcis,,,
Don Marmor,,Don Marmor,,don-marmor,,,
Don Marrant,,Don Marrant,,don-marrant,,,
