Race,Track,track,slug,track_id,Date,DriverName,,slug,driver_id,DriverStart,DriverFinish,DriverNum,DriverSponsor,DriverMake,DriverLaps,DriverLed,DriverStatus,DriverPts,,
1996 ARTGO Tournament of Speed,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,7-Sep-96,Scott Hansen,Scott Hansen,scott-hansen,20704,,8,,,,100,,running,,,
1997 Dixieland 250,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,5-Aug-97,Scott Hansen,Scott Hansen,scott-hansen,20704,,2,,,,250,,running,,,
1995 Cabin Fever 100,Dells Raceway Park,Dells Motor Speedway,dells-motor-speedway-wi,49,22-Jul-95,Scot Field,Scot Field,scot-field,20603,,14,,,,99,,,,,
1996 Cabin Fever 100,Kalamazoo Speedway,Kalamazoo Speedway,kalamazoo-speedway-mi,238,21-Apr-96,Scot Field,Scot Field,scot-field,20603,,24,,,,26,,,,,
1996 Ozark Challenge 100,Lebanon I-44 Speedway,Lebanon I-44 Speedway,lebanon-i44-speedway,248,15-Jun-96,Scot Field,Scot Field,scot-field,20603,,23,,,,24,,,,,
1996 ARTGO Summer Nationals,Marshfield Motor Speedway,Marshfield Super Speedway,marshfield-super-speedway-wi,119,23-Jun-96,Scot Field,Scot Field,scot-field,20603,,26,,,,19,,,,,
1996 ARTGO Golden Sands 100,Golden Sands Speedway,Golden Sands Speedway,golden-sands-speedway-wi,69,19-Aug-96,Scot Field,Scot Field,scot-field,20603,,24,,,,42,,,,,
1996 ARTGO USA Challenge,Bolivar Speedway,Bolivar Speedway,bolivar-speedway-mo,244,30-Aug-96,Scot Field,Scot Field,scot-field,20603,,20,,,,69,,,,,
1997 Cabin Fever 100,Dells Raceway Park,Dells Motor Speedway,dells-motor-speedway-wi,49,10-May-97,Scot Field,Scot Field,scot-field,20603,7,11,62,Field Motorsports,Ford,100,,,,,
1997 Golden Sands Stars and Cars 100,Golden Sands Speedway,Golden Sands Speedway,golden-sands-speedway-wi,69,10-Aug-97,Sam Brundidge,Sam Brundidge,sam-brundidge,20536,,11,,,,100,,running,,,
1976 CAM2 Classic,Grundy County Speedway,Grundy County Speedway,grundy-county-speedway-il,77,9-May-76,Rusty Wallace,Rusty Wallace,rusty-wallace,20356,,9,,,,,,,,,
1978 ARTGO Spring Classic,Grundy County Speedway,Grundy County Speedway,grundy-county-speedway-il,77,30-Apr-78,Rusty Wallace,Rusty Wallace,rusty-wallace,20356,,5,,,,,,,,,
1978 ARTGO All-Star 200 Race No. 1,Grundy County Speedway,Grundy County Speedway,grundy-county-speedway-il,77,3-Jun-78,Rusty Wallace,Rusty Wallace,rusty-wallace,20356,,4,,,,,,,,,
1978 ARTGO All-Star 200 Race No. 2,Grundy County Speedway,Grundy County Speedway,grundy-county-speedway-il,77,3-Jun-78,Rusty Wallace,Rusty Wallace,rusty-wallace,20356,,9,,,,,,,,,
ARTGO:1978-06,Madison International Speedway,Capital Super Speedway,capital-super-speedway-wi,31,3-Jul-78,Rusty Wallace,Rusty Wallace,rusty-wallace,20356,,1,66,Kirn,,75,,running,,,
1978 Tuesday Night Special,Rockford Speedway,Rockford Speedway,rockford-speedway-il,174,11-Jul-78,Rusty Wallace,Rusty Wallace,rusty-wallace,20356,,2,,,,,,,,,
1978 ARTGO Summer Nationals Race No. 1,Madison International Speedway,Capital Super Speedway,capital-super-speedway-wi,31,5-Aug-78,Rusty Wallace,Rusty Wallace,rusty-wallace,20356,,8,,,,,,,,,
1978 Pepsi Monza Championship Race No. 1,Madison International Speedway,Capital Super Speedway,capital-super-speedway-wi,31,1-Sep-78,Rusty Wallace,Rusty Wallace,rusty-wallace,20356,,3,,,,,,,,,
1978 Pepsi Monza Championship Race No. 2,Madison International Speedway,Capital Super Speedway,capital-super-speedway-wi,31,1-Sep-78,Rusty Wallace,Rusty Wallace,rusty-wallace,20356,,5,,,,,,,,,
1978 Pepsi Monza Championship Race No. 3,Madison International Speedway,Capital Super Speedway,capital-super-speedway-wi,31,1-Sep-78,Rusty Wallace,Rusty Wallace,rusty-wallace,20356,,3,,,,,,,,,
1979 Hi/Rev 100,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,24-Jun-79,Rusty Wallace,Rusty Wallace,rusty-wallace,20356,,4,,,Camaro,,0,,,,
1979 NGK Spark Plug 200,LaCrosse Fairgrounds Speedway,LaCrosse Interstate Speedway,lacrosse-interstate-speedway-wi,100,4-Jul-79,Rusty Wallace,Rusty Wallace,rusty-wallace,20356,,5,,,Chevy,200,,running,,,
1979 All-Star 100,Rockford Speedway,Rockford Speedway,rockford-speedway-il,174,10-Jul-79,Rusty Wallace,Rusty Wallace,rusty-wallace,20356,,10,66,Kirn Fire Protection,,,,,,,
1980 Hi Rev 150 Race No. 1,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,8-Jun-80,Rusty Wallace,Rusty Wallace,rusty-wallace,20356,,16,,,Camaro,,,,,,
1980 Pepsi Cola 100 Race No. 1,Madison International Speedway,Capital Super Speedway,capital-super-speedway-wi,31,6-Jul-80,Rusty Wallace,Rusty Wallace,rusty-wallace,20356,,7,,,Camaro,,,,,,
1980 Pepsi Cola 100 Race No. 2,Madison International Speedway,Capital Super Speedway,capital-super-speedway-wi,31,6-Jul-80,Rusty Wallace,Rusty Wallace,rusty-wallace,20356,,2,,,Camaro,,,,,,
1980 All-Star 100,Rockford Speedway,Rockford Speedway,rockford-speedway-il,174,15-Jul-80,Rusty Wallace,Rusty Wallace,rusty-wallace,20356,,5,66,"Childs Tire,Kirn Racing Engines",Camaro,,,,,,
1981 Firecracker 100,Lake Geneva Raceway,Lake Geneva Raceway,lake-geneva-raceway-wi,105,4-Jul-81,Rusty Wallace,Rusty Wallace,rusty-wallace,20356,,17,66,"Childs Tire,Kirn",,55,,,,,
1981 ARTGO Holiday Twin 50s Race No. 1,Madison International Speedway,Capital Super Speedway,capital-super-speedway-wi,31,5-Jul-81,Rusty Wallace,Rusty Wallace,rusty-wallace,20356,,7,,,Camaro,50,,running,,,
1981 ARTGO Holiday Twin 50s Race No. 2,Madison International Speedway,Capital Super Speedway,capital-super-speedway-wi,31,5-Jul-81,Rusty Wallace,Rusty Wallace,rusty-wallace,20356,,5,,,Camaro,50,,running,,,
1981 Coca-Cola 100 Race No. 1,Berlin Raceway,Berlin Raceway,berlin-raceway-mi,234,15-Aug-81,Rusty Wallace,Rusty Wallace,rusty-wallace,20356,,13,,,,,,,,,
1981 Coca-Cola 100 Race No. 2,Berlin Raceway,Berlin Raceway,berlin-raceway-mi,234,15-Aug-81,Rusty Wallace,Rusty Wallace,rusty-wallace,20356,,10,,,,,,,,,
1982 ARTGO Dixieland Challenge,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,31-Aug-82,Rusty Wallace,Rusty Wallace,rusty-wallace,20356,,5,,,Camaro,,,,,,
1983 ARTGO Fall Nationals Race No. 1,Grundy County Speedway,Grundy County Speedway,grundy-county-speedway-il,77,9-Oct-83,Rusty Wallace,Rusty Wallace,rusty-wallace,20356,,2,,,,,,,,,
1983 ARTGO Fall Nationals Race No. 2,Grundy County Speedway,Grundy County Speedway,grundy-county-speedway-il,77,9-Oct-83,Rusty Wallace,Rusty Wallace,rusty-wallace,20356,,1,,Alugard,Camaro,,,,,,
1983 ARTGO Fall Nationals Race No. 3,Grundy County Speedway,Grundy County Speedway,grundy-county-speedway-il,77,9-Oct-83,Rusty Wallace,Rusty Wallace,rusty-wallace,20356,,4,,,,,,,,,
1986 Miller High Life/Newscenter 11 Dixieland Challenge,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,5-Aug-86,Rusty Wallace,Rusty Wallace,rusty-wallace,20356,,20,,,,,,,,,
1982 Wisconsin 400 Race No. 2,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,26-Jun-82,Russ Peterson,Russ Peterson,russ-peterson,20299,,13,,,,,,,,,
1989 Miller High Life/TV 5 Spring Nationals Race No. 2,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,29-May-89,Russ Peterson,Russ Peterson,russ-peterson,20299,,16,,,,49,0,,,,
1990 Miller Genuine Draft TV-5 Spring Nationals,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,28-May-90,Russ Peterson,Russ Peterson,russ-peterson,20299,,22,,,,60,,,,,
1991 ARTGO Dixieland Challenge,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,6-Aug-91,Russ Peterson,Russ Peterson,russ-peterson,20299,,25,,,,77,,,,,
1992 Badgerland 50,Milwaukee Mile,Milwaukee Mile,milwaukee-mile-wi,125,10-May-92,Russ Peterson,Russ Peterson,russ-peterson,20299,,14,,,,50,,running,,,
1992 Spring Nationals 125,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,25-May-92,Russ Peterson,Russ Peterson,russ-peterson,20299,,20,,,,123,,,,,
1992 ARTGO 50,Milwaukee Mile,Milwaukee Mile,milwaukee-mile-wi,125,19-Jul-92,Russ Peterson,Russ Peterson,russ-peterson,20299,,21,,,,,,,,,
1993 Badger World Classic 50,Milwaukee Mile,Milwaukee Mile,milwaukee-mile-wi,125,1-Aug-93,Russ Peterson,Russ Peterson,russ-peterson,20299,,22,,,,45,,,,,
1983 Upper Peninsula 100 Race No. 2,Escanaba International Raceway,Escanaba Speedway,escanaba-speedway-mi,61,23-Jul-83,Ron Paquette,Ron Paquette,ron-paquette,20013,,,,,,,,DNQ,,,
1995 Dixieland 250,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,1-Aug-95,"Ron Hornaday, Jr.","Ron Hornaday, Jr.",ron-hornaday-jr,19938,,16,,,,246,,,,,
1993 Spring Classic,Rockford Speedway,Rockford Speedway,rockford-speedway-il,174,4-Apr-93,"Ron Breese, Jr.",Ron Breese,ron-breese,19875,,12,,,,149,,,,,
1994 Spring Classic,Rockford Speedway,Rockford Speedway,rockford-speedway-il,174,10-Apr-94,"Ron Breese, Jr.",Ron Breese,ron-breese,19875,,7,,,,150,,,,,
1994 Cabin Fever 100,Dells Raceway Park,Dells Motor Speedway,dells-motor-speedway-wi,49,7-May-94,"Ron Breese, Jr.",Ron Breese,ron-breese,19875,,11,,,,100,,running,,,
1994 Michigan Challenge,Berlin Raceway,Berlin Raceway,berlin-raceway-mi,234,28-May-94,"Ron Breese, Jr.",Ron Breese,ron-breese,19875,,12,,,,100,,running,,,
1994 Miller Genuine Draft Spring Nationals,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,30-May-94,"Ron Breese, Jr.",Ron Breese,ron-breese,19875,,11,,,,100,,,,,
1994 ARTGO Western Swing Race No. 2,Lebanon I-44 Speedway,Lebanon I-44 Speedway,lebanon-i44-speedway,248,18-Jun-94,"Ron Breese, Jr.",Ron Breese,ron-breese,19875,,21,,,,21,,,,,
1994 ARTGO Summer Nationals,Dells Raceway Park,Dells Motor Speedway,dells-motor-speedway-wi,49,2-Jul-94,"Ron Breese, Jr.",Ron Breese,ron-breese,19875,,22,,,,49,,,,,
1994 Chicagoland Showdown,Illiana Motor Speedway,Illiana Speedway,illiana-speedway-in,83,21-Jul-94,"Ron Breese, Jr.",Ron Breese,ron-breese,19875,,11,,,,100,,,,,
1994 Kalamazoo Challenge,Berlin Raceway,Berlin Raceway,berlin-raceway-mi,234,22-Jul-94,"Ron Breese, Jr.",Ron Breese,ron-breese,19875,,6,,,,100,,running,,,
1994 Dixieland 250,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,2-Aug-94,"Ron Breese, Jr.",Ron Breese,ron-breese,19875,,15,,,,248,,,,,
1994 Johnson Service Center Summer Showdown 100,Lebanon I-44 Speedway,Lebanon I-44 Speedway,lebanon-i44-speedway,248,3-Sep-94,"Ron Breese, Jr.",Ron Breese,ron-breese,19875,,18,,,,93,,,,,
1994 ARTGO Western Swing Race No. 4,Lakeside Speedway,Lakeside Speedway,lakeside-speedway-ks,249,5-Sep-94,"Ron Breese, Jr.",Ron Breese,ron-breese,19875,,9,,,,100,,,,,
1994 Minnesota Governor's Cup,"I-94 Speedway (Sauk Centre, MN)","I-94 Speedway (Sauk Centre, MN)",#N/A,#N/A,11-Sep-94,"Ron Breese, Jr.",Ron Breese,ron-breese,19875,,8,,,,100,,running,,,
1994 ARTGO Tournament of Speed,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,17-Sep-94,"Ron Breese, Jr.",Ron Breese,ron-breese,19875,,9,,,,50,,running,,,
1995 Spring Classic,Rockford Speedway,Rockford Speedway,rockford-speedway-il,174,9-Apr-95,"Ron Breese, Jr.",Ron Breese,ron-breese,19875,,2,,,,150,,running,,,
1995 Chicagoland Showdown,Grundy County Speedway,Grundy County Speedway,grundy-county-speedway-il,77,21-May-95,"Ron Breese, Jr.",Ron Breese,ron-breese,19875,,23,,,,4,,,,,
1995 ARTGO Spring Nationals,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,29-May-95,"Ron Breese, Jr.",Ron Breese,ron-breese,19875,,15,,,,99,,,,,
1995 Miller Hawkeye 100,Hawkeye Downs Speedway,Hawkeye Downs Speedway,hawkeye-downs-speedway-ia,241,6-Jun-95,"Ron Breese, Jr.",Ron Breese,ron-breese,19875,,5,,,,100,,,,,
1995 LaCrosse Fairtime 100,LaCrosse Fairgrounds Speedway,LaCrosse Interstate Speedway,lacrosse-interstate-speedway-wi,100,12-Jul-95,"Ron Breese, Jr.",Ron Breese,ron-breese,19875,,15,,,,97,,,,,
1995 KC Colors World Cup 300,I-70 Motorsports Park,I-70 Motorsports Park,i70-motorsports-park-mo,243,1-Oct-95,"Ron Breese, Jr.",Ron Breese,ron-breese,19875,,7,,,,298,,,,,
1996 Dixieland Challenge 250,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,6-Aug-96,"Ron Breese, Jr.",Ron Breese,ron-breese,19875,,18,,,,149,,,,,
1996 KC Colors World Cup 300,I-70 Motorsports Park,I-70 Motorsports Park,i70-motorsports-park-mo,243,28-Sep-96,"Ron Breese, Jr.",Ron Breese,ron-breese,19875,,20,,,,194,,,,,
1997 Cabin Fever 100,Dells Raceway Park,Dells Motor Speedway,dells-motor-speedway-wi,49,10-May-97,"Ron Breese, Jr.",Ron Breese,ron-breese,19875,16,25,1,Havill-Spoerl,Dodge,9,,,,,
1997 ARTGO Spring Nationals Race No. 2,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,26-May-97,"Ron Breese, Jr.",Ron Breese,ron-breese,19875,,27,,,,3,,,,,
1997 Spring Classic,Rockford Speedway,Rockford Speedway,rockford-speedway-il,174,1-Jun-97,"Ron Breese, Jr.",Ron Breese,ron-breese,19875,,19,,,,105,,,,,
1997 Miller Hawkeye 100,Hawkeye Downs Speedway,Hawkeye Downs Speedway,hawkeye-downs-speedway-ia,241,14-Jun-97,"Ron Breese, Jr.",Ron Breese,ron-breese,19875,,8,,,,100,,running,,,
1997 NAPA All-Star 100,LaCrosse Fairgrounds Speedway,LaCrosse Interstate Speedway,lacrosse-interstate-speedway-wi,100,25-Jun-97,"Ron Breese, Jr.",Ron Breese,ron-breese,19875,,21,,,,37,,,,,
1997 All-American 100,Lake Geneva Raceway,Lake Geneva Raceway,lake-geneva-raceway-wi,105,5-Jul-97,"Ron Breese, Jr.",Ron Breese,ron-breese,19875,,8,,,,100,,running,,,
1997 ARTGO Summer Nationals,Dells Raceway Park,Dells Motor Speedway,dells-motor-speedway-wi,49,19-Jul-97,"Ron Breese, Jr.",Ron Breese,ron-breese,19875,,16,,,,100,,running,,,
1997 ARTGO 50,World Wide Technology Raceway at Gateway,World Wide Technology Raceway at Gateway,world-wide-technology-raceway-il,242,26-Jul-97,"Ron Breese, Jr.",Ron Breese,ron-breese,19875,,18,,,,40,,running,,,
1997 Dixieland 250,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,5-Aug-97,"Ron Breese, Jr.",Ron Breese,ron-breese,19875,,10,,,,249,,,,,
1997 Golden Sands Stars and Cars 100,Golden Sands Speedway,Golden Sands Speedway,golden-sands-speedway-wi,69,10-Aug-97,"Ron Breese, Jr.",Ron Breese,ron-breese,19875,,3,,,,100,,running,,,
1997 USA Challenge 100,Bolivar Speedway,Bolivar Speedway,bolivar-speedway-mo,244,29-Aug-97,"Ron Breese, Jr.",Ron Breese,ron-breese,19875,,3,,,,100,,,,,
1997 Johnson Service Center 100,Lebanon I-44 Speedway,Lebanon I-44 Speedway,lebanon-i44-speedway,248,30-Aug-97,"Ron Breese, Jr.",Ron Breese,ron-breese,19875,,10,,,,100,,running,,,
1985 Miller High Life Dixieland Challenge,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,7-Aug-85,Ron Blum,Ron Blum,ron-blum,19870,,18,,,,39,,,,,
1980 Chicagoland Showdown Race No. 1,Illiana Motor Speedway,Illiana Speedway,illiana-speedway-in,83,24-May-80,Ron Bloomberg,Ron Bloomberg,ron-bloomberg,19869,,,,,,,,DNQ,,,
1982 Spring Twin 50s Race No. 1,Grundy County Speedway,Grundy County Speedway,grundy-county-speedway-il,77,25-Apr-82,Ron Bloomberg,Ron Bloomberg,ron-bloomberg,19869,,18,,,Camaro,,,,,,
1982 Spring Twin 50s Race No. 2,Grundy County Speedway,Grundy County Speedway,grundy-county-speedway-il,77,25-Apr-82,Ron Bloomberg,Ron Bloomberg,ron-bloomberg,19869,,18,,,,,,,,,
1982 Chicagoland Showdown Race No. 1,Illiana Motor Speedway,Illiana Speedway,illiana-speedway-in,83,30-May-82,Ron Bloomberg,Ron Bloomberg,ron-bloomberg,19869,,5,,,,,,,,,
1982 Chicagoland Showdown Race No. 2,Illiana Motor Speedway,Illiana Speedway,illiana-speedway-in,83,30-May-82,Ron Bloomberg,Ron Bloomberg,ron-bloomberg,19869,,19,,,,,,,,,
1982 Wisconsin 400 Race No. 2,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,26-Jun-82,Ron Bloomberg,Ron Bloomberg,ron-bloomberg,19869,,5,,,,,,,,,
1982 Wisconsin 400 Race No. 3,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,27-Jun-82,Ron Bloomberg,Ron Bloomberg,ron-bloomberg,19869,,15,,,1981 Camaro,,,,,,
1982 Firecracker 150 Race No. 1,Madison International Speedway,Capital Super Speedway,capital-super-speedway-wi,31,4-Jul-82,Ron Bloomberg,Ron Bloomberg,ron-bloomberg,19869,,11,,,,,,,,,
1982 Firecracker 150 Race No. 2,Madison International Speedway,Capital Super Speedway,capital-super-speedway-wi,31,4-Jul-82,Ron Bloomberg,Ron Bloomberg,ron-bloomberg,19869,,12,,,,,,,,,
1982 All-Star 100,Rockford Speedway,Rockford Speedway,rockford-speedway-il,174,13-Jul-82,Ron Bloomberg,Ron Bloomberg,ron-bloomberg,19869,,16,,,,,,,,,
1982 ARTGO 100,Escanaba International Raceway,Escanaba Speedway,escanaba-speedway-mi,61,24-Jul-82,Ron Bloomberg,Ron Bloomberg,ron-bloomberg,19869,,16,,,,,,,,,
1982 WDGY ARTGO 100,Elko Speedway,Elko Speedway,elko-speedway-mn,60,25-Jul-82,Ron Bloomberg,Ron Bloomberg,ron-bloomberg,19869,,17,,,Camaro,49,,,,,
1983 Chicagoland Showdown Race No. 1,Illiana Motor Speedway,Illiana Speedway,illiana-speedway-in,83,28-May-83,Ron Bloomberg,Ron Bloomberg,ron-bloomberg,19869,,,,,,,,DNQ,,,
1983 ARTGO Fall Nationals Race No. 1,Grundy County Speedway,Grundy County Speedway,grundy-county-speedway-il,77,9-Oct-83,Ron Bloomberg,Ron Bloomberg,ron-bloomberg,19869,,17,,,,,,,,,
1983 ARTGO Fall Nationals Race No. 2,Grundy County Speedway,Grundy County Speedway,grundy-county-speedway-il,77,9-Oct-83,Ron Bloomberg,Ron Bloomberg,ron-bloomberg,19869,,17,,,,,,,,,
1983 ARTGO Fall Nationals Race No. 3,Grundy County Speedway,Grundy County Speedway,grundy-county-speedway-il,77,9-Oct-83,Ron Bloomberg,Ron Bloomberg,ron-bloomberg,19869,,18,,,,,,,,,
1980 Dairyland 150 Race No. 1,Golden Sands Speedway,Golden Sands Speedway,golden-sands-speedway-wi,69,4-Jul-80,Ron Beyer,Ron Beyer,ron-beyer,19864,,,,,,,,DNQ,,,
1981 Patch Press Summer Nationals Race No. 2,Madison International Speedway,Capital Super Speedway,capital-super-speedway-wi,31,11-Oct-81,Ron Beyer,Ron Beyer,ron-beyer,19864,,16,,,,,,,,,
1982 Wisconsin 400 Race No. 3,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,27-Jun-82,Ron Beyer,Ron Beyer,ron-beyer,19864,,,,,,,,DNQ,,,
1988 ARTGO Spring Classic,Rockford Speedway,Rockford Speedway,rockford-speedway-il,174,10-Apr-88,Ron Bennett,Ron Bennett,ron-bennett,19859,,,,,,,,DNQ,,,
1988 Chicagoland Opening Day 100,Grundy County Speedway,Grundy County Speedway,grundy-county-speedway-il,77,23-Apr-88,Ron Bennett,Ron Bennett,ron-bennett,19859,,,,,,,,DNQ,,,
1981 Firecracker 100,Lake Geneva Raceway,Lake Geneva Raceway,lake-geneva-raceway-wi,105,4-Jul-81,Roger Otto,Roger Otto,roger-otto,19765,,,,,,,,DNQ,,,
1984 Midwest Championships Race No. 1,Dells Raceway Park,Dells Motor Speedway,dells-motor-speedway-wi,49,16-Sep-84,Roger Lund,Roger Lund,roger-lund,19743,,21,,,,49,,,,,
1984 Midwest Championships Race No. 2,Dells Raceway Park,Dells Motor Speedway,dells-motor-speedway-wi,49,16-Sep-84,Roger Lund,Roger Lund,roger-lund,19743,,12,,,,49,,,,,
1985 ARTGO Spring Classic,Rockford Speedway,Rockford Speedway,rockford-speedway-il,174,12-May-85,Roger Lund,Roger Lund,roger-lund,19743,,19,,,,16,,,,,
1985 Escape to Wisconsin 100,Dells Raceway Park,Dells Motor Speedway,dells-motor-speedway-wi,49,25-Jul-85,Roger Lund,Roger Lund,roger-lund,19743,,,,,,,,DNQ,,,
1986 ARTGO Spring Classic,Rockford Speedway,Rockford Speedway,rockford-speedway-il,174,4-May-86,Roger Lund,Roger Lund,roger-lund,19743,,17,,,,34,,,,,
1981 ARTGO Dixieland Challenge Race No. 1,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,31-May-81,Rod Wheeler,Rod Wheeler,rod-wheeler,19635,,,,,,,,DNQ,,,
1981 Saturday Night Twin 50s Race No. 1,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,1-Aug-81,Rod Wheeler,Rod Wheeler,rod-wheeler,19635,,19,,,Camaro,,,,,,
1981 Saturday Night Twin 50s Race No. 2,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,1-Aug-81,Rod Wheeler,Rod Wheeler,rod-wheeler,19635,,13,,,Camaro,,,,,,
1981 Patch Press Summer Nationals Race No. 1,Madison International Speedway,Capital Super Speedway,capital-super-speedway-wi,31,10-Oct-81,Rod Wheeler,Rod Wheeler,rod-wheeler,19635,,17,,,,,,,,,
1981 Patch Press Summer Nationals Race No. 2,Madison International Speedway,Capital Super Speedway,capital-super-speedway-wi,31,11-Oct-81,Rod Wheeler,Rod Wheeler,rod-wheeler,19635,,14,,,,,,,,,
1982 ARTGO Spring Classic,Rockford Speedway,Rockford Speedway,rockford-speedway-il,174,11-Apr-82,Rod Wheeler,Rod Wheeler,rod-wheeler,19635,,,,,,,,DNQ,,,
1993 ARTGO Spring Nationals,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,29-Aug-93,Rod Wheeler,Rod Wheeler,rod-wheeler,19635,,8,,,,150,,,,,
1994 Dixieland 250,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,2-Aug-94,Rod Wheeler,Rod Wheeler,rod-wheeler,19635,,22,,,,194,,,,,
1994 ARTGO Tournament of Speed,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,17-Sep-94,Rod Wheeler,Rod Wheeler,rod-wheeler,19635,,12,,,,50,,running,,,
1995 ARTGO Spring Nationals,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,29-May-95,Rod Wheeler,Rod Wheeler,rod-wheeler,19635,,21,,,,81,,,,,
1995 Dixieland 250,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,1-Aug-95,Rod Wheeler,Rod Wheeler,rod-wheeler,19635,,4,,,,250,,running,,,
1995 ARTGO Tournament of Speed,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,9-Sep-95,Rod Wheeler,Rod Wheeler,rod-wheeler,19635,,5,,,,100,,running,,,
1996 ARTGO Spring Nationals,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,27-May-96,Rod Wheeler,Rod Wheeler,rod-wheeler,19635,,9,,,,99,,,,,
1996 Dixieland Challenge 250,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,6-Aug-96,Rod Wheeler,Rod Wheeler,rod-wheeler,19635,,30,,,,8,,,,,
1996 ARTGO Tournament of Speed,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,7-Sep-96,Rod Wheeler,Rod Wheeler,rod-wheeler,19635,,25,,,,38,,,,,
1997 ARTGO Spring Nationals Race No. 1,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,26-May-97,Rod Wheeler,Rod Wheeler,rod-wheeler,19635,,6,5,Power Source Racing Engines,Ford,50,,running,,,
1997 ARTGO Spring Nationals Race No. 2,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,26-May-97,Rod Wheeler,Rod Wheeler,rod-wheeler,19635,,13,,,,50,,running,,,
1997 Spring Classic,Rockford Speedway,Rockford Speedway,rockford-speedway-il,174,1-Jun-97,Rod Wheeler,Rod Wheeler,rod-wheeler,19635,,8,,,,149,,,,,
1997 Miller Hawkeye 100,Hawkeye Downs Speedway,Hawkeye Downs Speedway,hawkeye-downs-speedway-ia,241,14-Jun-97,Rod Wheeler,Rod Wheeler,rod-wheeler,19635,,16,,,,98,,,,,
1997 NAPA All-Star 100,LaCrosse Fairgrounds Speedway,LaCrosse Interstate Speedway,lacrosse-interstate-speedway-wi,100,25-Jun-97,Rod Wheeler,Rod Wheeler,rod-wheeler,19635,,16,,,,98,,,,,
1997 All-American 100,Lake Geneva Raceway,Lake Geneva Raceway,lake-geneva-raceway-wi,105,5-Jul-97,Rod Wheeler,Rod Wheeler,rod-wheeler,19635,,19,,,,93,,,,,
1997 ARTGO Summer Nationals,Dells Raceway Park,Dells Motor Speedway,dells-motor-speedway-wi,49,19-Jul-97,Rod Wheeler,Rod Wheeler,rod-wheeler,19635,,15,,,,100,,running,,,
1997 Dixieland 250,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,5-Aug-97,Rod Wheeler,Rod Wheeler,rod-wheeler,19635,,13,,,,248,,,,,
1997 Golden Sands Stars and Cars 100,Golden Sands Speedway,Golden Sands Speedway,golden-sands-speedway-wi,69,10-Aug-97,Rod Wheeler,Rod Wheeler,rod-wheeler,19635,,19,,,,99,,,,,
