Race,Track,track,slug,track_id,Date,DriverName,,slug,driver_id,DriverStart,DriverFinish,DriverNum,DriverSponsor,DriverMake,DriverLaps,DriverLed,DriverStatus,DriverPts,,
1979 ARTGO Spring Classic,Madison International Speedway,Capital Super Speedway,capital-super-speedway-wi,31,8-Apr-79,Bob Sensiba,Bob Sensiba,#N/A,#N/A,,14,,,,,,,,,Dan Odel
1983 ARTGO Indiana Challenge,Baer Field Motorsports Park,Baer Field Motorsports Park,baer-field-motorsports-park-in,236,23-Aug-83,Bob Smith (VA),Bob Smith (VA),#N/A,#N/A,,21,,,Firebird,16,,,,,Dan Shewmake
1985 WBTU Indiana Challenge 100,Baer Field Motorsports Park,Baer Field Motorsports Park,baer-field-motorsports-park-in,236,3-Jul-85,Bob Smith (VA),Bob Smith (VA),#N/A,#N/A,,19,,,,48,,,,,Dan Young
ARTGO:1978-06,Madison International Speedway,Capital Super Speedway,capital-super-speedway-wi,31,3-Jul-78,Bob Theriault,Bob Theriault,#N/A,#N/A,,16,,,,,,,,,Danny Duke
1978 ARTGO Summer Nationals Race No. 1,Madison International Speedway,Capital Super Speedway,capital-super-speedway-wi,31,5-Aug-78,Bob Theriault,Bob Theriault,#N/A,#N/A,,,,,,,,DNQ,,,Danny Prziborowski
1986 London Free Press 100,Delaware Speedway,Delaware Speedway,delaware-speedway-onT,240,13-Jun-86,Bob Vale,Bob Vale,#N/A,#N/A,,16,,,,70,,,,,Dave Hatcher
1979 Dairyland 150 Race No. 2,Golden Sands Speedway,Golden Sands Speedway,golden-sands-speedway-wi,69,8-Sep-79,Bobby Gunn,Bobby Gunn,#N/A,#N/A,,7,,,,,,,,,Dave Isen
1980 Hi Rev 150 Race No. 1,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,8-Jun-80,Bobby Iverson,Bob Iverson,bob-iverson,1929,,13,,,Trans-Am,,,,,,Dave Jackson
1980 Hi Rev 150 Race No. 2,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,8-Jun-80,Bobby Iverson,Bob Iverson,bob-iverson,1929,,14,,,Trans-Am,,,,,,Dave Price
1981 ARTGO Dixieland Challenge Race No. 1,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,31-May-81,Bobby Iverson,Bob Iverson,bob-iverson,1929,,10,97,,Firebird,,,,,,Dave Reid
1981 ARTGO Dixieland Challenge Race No. 2,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,31-May-81,Bobby Iverson,Bob Iverson,bob-iverson,1929,,10,,,Firebird,,,,,,Dave Roahrig
1982 Wisconsin 400 Race No. 3,Wisconsin International Raceway,Wisconsin International Raceway,wisconsin-international-raceway-wi,217,27-Jun-82,Bobby Iverson,Bob Iverson,bob-iverson,1929,,6,,,1982 Firebird,,,,,,Dave Selck
1982 ARTGO 100,Escanaba International Raceway,Escanaba Speedway,escanaba-speedway-mi,61,24-Jul-82,Bobby Iverson,Bob Iverson,bob-iverson,1929,,5,,,,,,,,,Dave Taylor
