event_slug,series_event_id,season_id,race_number,track_id,finishing_position,starting_position,car_number,driver_id,driver_name,driver_slug,sponsor,make,laps,led,status,points,result_section,source_url
2002-larry-detjens-memorial,,42,4,193,10,,,15732,M.G. Gajewski,m-g-gajewski,,,,,,,feature,
2002-larry-detjens-memorial,,42,4,193,11,,,10667,Jason Weinkauf,jason-weinkauf,,,,,,,feature,
2002-larry-detjens-memorial,,42,4,193,12,,,5869,Dave Gawronski,dave-gawronski,,,,,,,feature,
2002-larry-detjens-memorial,,42,4,193,13,,,18245,Pete Kempf,pete-kempf,,,,,,,feature,
2002-larry-detjens-memorial,,42,4,193,14,,,4481,Clint Sillars,clint-sillars,,,,,,,feature,
2002-larry-detjens-memorial,,42,4,193,15,,,4194,Chris Weinkauf,chris-weinkauf,,,,,,,feature,
2002-larry-detjens-memorial,,42,4,193,16,,,22477,Todd Stapleman,todd-stapleman,,,,,,,feature,
2002-larry-detjens-memorial,,42,4,193,17,,,15866,Mark Eswein,mark-eswein,,,,,,,feature,
2002-larry-detjens-memorial,,42,4,193,18,,,7473,Donnie Woller,donnie-woller,,,,,,,feature,
2002-larry-detjens-memorial,,42,4,193,19,,,11096,Jeff Weinfurter,jeff-weinfurter,,,,,,,feature,
2002-larry-detjens-memorial,,42,4,193,20,,,3355,Burton Brown,burton-brown,,,,,,,feature,
2002-larry-detjens-memorial,,42,4,193,21,,,23689,Wayne Breitenfeldt,wayne-breitenfeldt,,,,,,,feature,
2002-larry-detjens-memorial,,42,4,193,22,,,8715,Gary Back,gary-back,,,,,,,feature,
2002-north-american-cup,,42,5,49,1,,,10910,Jeff Kendall,jeff-kendall,,,,,,,feature,
2002-north-american-cup,,42,5,49,2,,,14363,Kevin Brescia,kevin-brescia,,,,,,,feature,
2002-north-american-cup,,42,5,49,3,,,11007,Jeff Richards,jeff-richards,,,,,,,feature,
2002-north-american-cup,,42,5,49,4,,,14762,Kyle Kinder,kyle-kinder,,,,,,,feature,
2002-north-american-cup,,42,5,49,5,,,18118,Paul Menard,paul-menard,,,,,,,feature,
2002-north-american-cup,,42,5,49,6,,,4200,Chris Wimmer,chris-wimmer,,,,,,,feature,
2002-north-american-cup,,42,5,49,7,,,603,Andrew Morrissey,andrew-morrissey,,,,,,,feature,
2002-north-american-cup,,42,5,49,8,,,8230,Eric Hammond,eric-hammond,,,,,,,feature,
2002-north-american-cup,,42,5,49,9,,,11360,Jerry Gille,jerry-gille,,,,,,,feature,
2002-north-american-cup,,42,5,49,10,,,8079,Eddie Hoffman,eddie-hoffman,,,,,,,feature,
2002-north-american-cup,,42,5,49,11,,,22477,Todd Stapleman,todd-stapleman,,,,,,,feature,
2002-north-american-cup,,42,5,49,12,,,11210,Jeremy Lepak,jeremy-lepak,,,,,,,feature,
2002-north-american-cup,,42,5,49,13,,,10667,Jason Weinkauf,jason-weinkauf,,,,,,,feature,
2002-north-american-cup,,42,5,49,14,,,14573,Kirby Kurth,kirby-kurth,,,,,,,feature,
2002-north-american-cup,,42,5,49,15,,,3880,Charlie Menard,charlie-menard,,,,,,,feature,
2002-north-american-cup,,42,5,49,16,,,8526,Frank Kreyer,frank-kreyer,,,,,,,feature,
2002-north-american-cup,,42,5,49,17,,,19001,"Rich Schumann, Jr.",rich-schumann-jr,,,,,,,feature,
2002-north-american-cup,,42,5,49,18,,,5276,Dan Howard,dan-howard,,,,,,,feature,
2002-north-american-cup,,42,5,49,19,,,23095,Travis Dassow,travis-dassow,,,,,,,feature,
2002-north-american-cup,,42,5,49,20,,,14187,Ken Reiser,kenny-reiser,,,,,,,feature,
2002-north-american-cup,,42,5,49,21,,,5869,Dave Gawronski,dave-gawronski,,,,,,,feature,
2002-north-american-cup,,42,5,49,22,,,13983,Kelly Bires,kelly-bires,,,,,,,feature,
2002-north-american-cup,,42,5,49,23,,,7419,Don Turner,don-turner,,,,,,,feature,
2002-legends-75,,42,6,69,1,,,11096,Jeff Weinfurter,jeff-weinfurter,,,,,,,feature,
2002-legends-75,,42,6,69,2,,,8715,Gary Back,gary-back,,,,,,,feature,
2002-legends-75,,42,6,69,3,,,516,Allen Check,allen-check,,,,,,,feature,
2002-legends-75,,42,6,69,4,,,11210,Jeremy Lepak,jeremy-lepak,,,,,,,feature,
2002-legends-75,,42,6,69,5,,,15866,Mark Eswein,mark-eswein,,,,,,,feature,
2002-legends-75,,42,6,69,6,,,14187,Ken Reiser,kenny-reiser,,,,,,,feature,
2002-legends-75,,42,6,69,7,,,14762,Kyle Kinder,kyle-kinder,,,,,,,feature,
2002-legends-75,,42,6,69,8,,,22477,Todd Stapleman,todd-stapleman,,,,,,,feature,
2002-legends-75,,42,6,69,9,,,23301,Troy Nelson,troy-nelson,,,,,,,feature,
2002-legends-75,,42,6,69,10,,,13732,Justin Hirt,justin-hirt,,,,,,,feature,
2002-legends-75,,42,6,69,11,,,19584,Rocky Breezer,rocky-breezer,,,,,,,feature,
2002-legends-75,,42,6,69,12,,,11765,Jim Carlson,jim-carlson,,,,,,,feature,
2002-legends-75,,42,6,69,13,,,3355,Burton Brown,burton-brown,,,,,,,feature,
2002-legends-75,,42,6,69,14,,,7519,Doug Drost,doug-drost,,,,,,,feature,
2002-legends-75,,42,6,69,15,,,15732,M.G. Gajewski,m-g-gajewski,,,,,,,feature,
2002-legends-75,,42,6,69,16,,,4194,Chris Weinkauf,chris-weinkauf,,,,,,,feature,
2002-legends-75,,42,6,69,17,,,15955,Mark Mackesy,mark-mackesy,,,,,,,feature,
2002-legends-75,,42,6,69,18,,,10667,Jason Weinkauf,jason-weinkauf,,,,,,,feature,
2002-legends-75,,42,6,69,19,,,4481,Clint Sillars,clint-sillars,,,,,,,feature,
2002-legends-75,,42,6,69,20,,,2665,Brandon Selle,brandon-selle,,,,,,,feature,
2002-legends-75,,42,6,69,21,,,5869,Dave Gawronski,dave-gawronski,,,,,,,feature,
2002-legends-75,,42,6,69,22,,,17512,Nathan Haseleu,nathan-haseleu,,,,,,,feature,
2002-legends-75,,42,6,69,23,,,3993,Chris Bires,chris-bires,,,,,,,feature,
2002-championship-100,,42,7,49,1,,,14762,Kyle Kinder,kyle-kinder,,,,,,,feature,
2002-championship-100,,42,7,49,2,,,23035,Tony Strupp,tony-strupp,,,,,,,feature,
2002-championship-100,,42,7,49,3,,,22477,Todd Stapleman,todd-stapleman,,,,,,,feature,
2002-championship-100,,42,7,49,4,,,17512,Nathan Haseleu,nathan-haseleu,,,,,,,feature,
2002-championship-100,,42,7,49,5,,,10910,Jeff Kendall,jeff-kendall,,,,,,,feature,
2002-championship-100,,42,7,49,6,,,2469,Brad Mueller,brad-mueller,,,,,,,feature,
2002-championship-100,,42,7,49,7,,,8314,Erik Darnell,erik-darnell,,,,,,,feature,
2002-championship-100,,42,7,49,8,,,15866,Mark Eswein,mark-eswein,,,,,,,feature,
2002-championship-100,,42,7,49,9,,,14187,Ken Reiser,kenny-reiser,,,,,,,feature,
2002-championship-100,,42,7,49,10,,,22013,Terry Schoppenhorst,terry-schoppenhorst,,,,,,,feature,
2002-championship-100,,42,7,49,11,,,19584,Rocky Breezer,rocky-breezer,,,,,,,feature,
2002-championship-100,,42,7,49,12,,,8715,Gary Back,gary-back,,,,,,,feature,
2002-championship-100,,42,7,49,13,,,10667,Jason Weinkauf,jason-weinkauf,,,,,,,feature,
2002-championship-100,,42,7,49,14,,,4194,Chris Weinkauf,chris-weinkauf,,,,,,,feature,
2002-championship-100,,42,7,49,15,,,516,Allen Check,allen-check,,,,,,,feature,
2002-championship-100,,42,7,49,16,,,8526,Frank Kreyer,frank-kreyer,,,,,,,feature,
2002-championship-100,,42,7,49,17,,,13983,Kelly Bires,kelly-bires,,,,,,,feature,
2002-championship-100,,42,7,49,18,,,7419,Don Turner,don-turner,,,,,,,feature,
2002-championship-100,,42,7,49,19,,,2370,Bobby Wilberg,bobby-wilberg,,,,,,,feature,
2002-championship-100,,42,7,49,20,,,5452,Dan Topel,dan-topel,,,,,,,feature,
2002-championship-100,,42,7,49,21,,,1772,Bob Campbell,bob-campbell,,,,,,,feature,
2002-championship-100,,42,7,49,22,,,null,"Eldon Zacek, Jr.",eldon-zacek-jr,,,,,,,feature,
2003-charter-communications-100,,43,1,49,1,,,14363,Kevin Brescia,kevin-brescia,,,,,,,feature,
2003-charter-communications-100,,43,1,49,2,,,5843,Dave Feiler,dave-feiler,,,,,,,feature,
2003-charter-communications-100,,43,1,49,3,,,603,Andrew Morrissey,andrew-morrissey,,,,,,,feature,
2003-charter-communications-100,,43,1,49,4,,,8314,Erik Darnell,erik-darnell,,,,,,,feature,
2003-charter-communications-100,,43,1,49,5,,,14762,Kyle Kinder,kyle-kinder,,,,,,,feature,
2003-charter-communications-100,,43,1,49,6,,,2469,Brad Mueller,brad-mueller,,,,,,,feature,
2003-charter-communications-100,,43,1,49,7,,,4194,Chris Weinkauf,chris-weinkauf,,,,,,,feature,
2003-charter-communications-100,,43,1,49,8,,,17512,Nathan Haseleu,nathan-haseleu,,,,,,,feature,
2003-charter-communications-100,,43,1,49,9,,,19086,Richie Loch,rich-loch,,,,,,,feature,
2003-charter-communications-100,,43,1,49,10,,,21594,Steve Rubeck,steve-rubeck,,,,,,,feature,
2003-charter-communications-100,,43,1,49,11,,,14187,Ken Reiser,kenny-reiser,,,,,,,feature,
2003-charter-communications-100,,43,1,49,12,,,5981,Dave Lawrence,dave-lawrence,,,,,,,feature,
2003-charter-communications-100,,43,1,49,13,,,20451,Ryan Mathews,ryan-mathews,,,,,,,feature,
2003-charter-communications-100,,43,1,49,14,,,23095,Travis Dassow,travis-dassow,,,,,,,feature,
2003-charter-communications-100,,43,1,49,15,,,5347,Dan Mills,dan-mills,,,,,,,feature,
2003-charter-communications-100,,43,1,49,16,,,12529,Joe Kryzkowski,joe-krzykowski,,,,,,,feature,
2003-charter-communications-100,,43,1,49,17,,,11080,Jeff VanOudenhoven,jeff-van-oudenhoven,,,,,,,feature,
2003-charter-communications-100,,43,1,49,18,,,13983,Kelly Bires,kelly-bires,,,,,,,feature,
2003-charter-communications-100,,43,1,49,19,,,23035,Tony Strupp,tony-strupp,,,,,,,feature,
2003-charter-communications-100,,43,1,49,20,,,11360,Jerry Gille,jerry-gille,,,,,,,feature,
2003-charter-communications-100,,43,1,49,21,,,20139,Rory Melbinger,rory-melbinger,,,,,,,feature,
