series_slug,series_name,season_year,race_number,race_date,race_date_raw,race_title,race_slug_guess,museum_event_slug_guess,race_url,track_display,track_name_from_url,track_slug_guess,museum_track_slug,track_slug_match_status,track_url,winner_name,winner_slug_guess,museum_winner_driver_slug,driver_slug_match_status,winner_url,source_name,source_url,source_file,import_status,review_notes
wisconsin-challenge-series,Wisconsin Challenge Series,2004,1,2004-04-10,10 April 2004,Spring Thaw 100,2004-spring-thaw-100,wisconsin-challenge-series-2004-01-spring-thaw-100,https://www.thethirdturn.com/wiki/2004_Spring_Thaw_100,"Wisconsin Dells, WI",Dells Raceway Park,dells-raceway-park,dells-raceway-park-wi,mapped,https://www.thethirdturn.com/wiki/Dells_Raceway_Park,Erik Darnell,erik-darnell,erik-darnell,mapped,https://www.thethirdturn.com/wiki/Erik_Darnell,The Third Turn,https://www.thethirdturn.com/wiki/2004_Spring_Thaw_100,2004_wisconsin_challenge_series.html,review,
wisconsin-challenge-series,Wisconsin Challenge Series,2004,2,2004-05-31,31 May 2004,Memorial 100,2004-memorial-100,wisconsin-challenge-series-2004-02-memorial-100,https://www.thethirdturn.com/wiki/2004_Memorial_100,"Plover, WI",Golden Sands Speedway,golden-sands-speedway,golden-sands-speedway-wi,mapped,https://www.thethirdturn.com/wiki/Golden_Sands_Speedway,Charlie Menard,charlie-menard,charlie-menard,mapped,https://www.thethirdturn.com/wiki/Charlie_Menard,The Third Turn,https://www.thethirdturn.com/wiki/2004_Memorial_100,2004_wisconsin_challenge_series.html,review,
wisconsin-challenge-series,Wisconsin Challenge Series,2004,3,2004-06-06,6 June 2004,First Supply 100,2004-first-supply-100,wisconsin-challenge-series-2004-03-first-supply-100,https://www.thethirdturn.com/wiki/2004_First_Supply_100,"Cambridge, WI",Jefferson Speedway,jefferson-speedway,jefferson-speedway-wi,mapped,https://www.thethirdturn.com/wiki/Jefferson_Speedway,Jason Schuler,jason-schuler,jason-schuler,mapped,https://www.thethirdturn.com/wiki/Jason_Schuler,The Third Turn,https://www.thethirdturn.com/wiki/2004_First_Supply_100,2004_wisconsin_challenge_series.html,review,
wisconsin-challenge-series,Wisconsin Challenge Series,2004,4,2004-06-19,19 June 2004,Thomas Electric 75,2004-thomas-electric-75,wisconsin-challenge-series-2004-04-thomas-electric-75,https://www.thethirdturn.com/wiki/2004_Thomas_Electric_75,"Marshfield, WI",Marshfield Motor Speedway,marshfield-motor-speedway,marshfield-motor-speedway-wi,mapped,https://www.thethirdturn.com/wiki/Marshfield_Motor_Speedway,Adam Royle,adam-royle,adam-royle,mapped,https://www.thethirdturn.com/wiki/Adam_Royle,The Third Turn,https://www.thethirdturn.com/wiki/2004_Thomas_Electric_75,2004_wisconsin_challenge_series.html,review,
wisconsin-challenge-series,Wisconsin Challenge Series,2004,5,2004-07-25,25 July 2004,Creek Classic 100,2004-creek-classic-100,wisconsin-challenge-series-2004-05-creek-classic-100,https://www.thethirdturn.com/wiki/2004_Creek_Classic_100,"Francis Creek, WI",141 Speedway,141-speedway,141-speedway-wi,mapped,https://www.thethirdturn.com/wiki/141_Speedway,Adam Royle,adam-royle,adam-royle,mapped,https://www.thethirdturn.com/wiki/Adam_Royle,The Third Turn,https://www.thethirdturn.com/wiki/2004_Creek_Classic_100,2004_wisconsin_challenge_series.html,review,
wisconsin-challenge-series,Wisconsin Challenge Series,2004,6,2004-07-30,30 July 2004,Sands 100,2004-sands-100,wisconsin-challenge-series-2004-06-sands-100,https://www.thethirdturn.com/wiki/2004_Sands_100,"Plover, WI",Golden Sands Speedway,golden-sands-speedway,golden-sands-speedway-wi,mapped,https://www.thethirdturn.com/wiki/Golden_Sands_Speedway,Charlie Menard,charlie-menard,charlie-menard,mapped,https://www.thethirdturn.com/wiki/Charlie_Menard,The Third Turn,https://www.thethirdturn.com/wiki/2004_Sands_100,2004_wisconsin_challenge_series.html,review,
wisconsin-challenge-series,Wisconsin Challenge Series,2004,7,2004-08-15,15 August 2004,Spring Fling Redeux,2004-spring-fling-redeux,wisconsin-challenge-series-2004-07-spring-fling-redeux,https://www.thethirdturn.com/wiki/2004_Spring_Fling_Redeux,"Columbus, WI",Columbus 151 Speedway,columbus-151-speedway,columbus-151-speedway-wi,mapped,https://www.thethirdturn.com/wiki/Columbus_151_Speedway,Mark Eswein,mark-eswein,mark-eswein,mapped,https://www.thethirdturn.com/wiki/Mark_Eswein,The Third Turn,https://www.thethirdturn.com/wiki/2004_Spring_Fling_Redeux,2004_wisconsin_challenge_series.html,review,
wisconsin-challenge-series,Wisconsin Challenge Series,2004,8,2004-09-11,11 September 2004,Rainbow Bingo & Casino Championship 80,2004-rainbow-bingo-and-casino-championship-80,wisconsin-challenge-series-2004-08-rainbow-bingo-and-casino-championship-80,https://www.thethirdturn.com/wiki/2004_Rainbow_Bingo_%26_Casino_Championship_80,"Marshfield, WI",Marshfield Motor Speedway,marshfield-motor-speedway,marshfield-motor-speedway-wi,mapped,https://www.thethirdturn.com/wiki/Marshfield_Motor_Speedway,Terry Baldry,terry-baldry,terry-baldry,mapped,https://www.thethirdturn.com/wiki/Terry_Baldry,The Third Turn,https://www.thethirdturn.com/wiki/2004_Rainbow_Bingo_%26_Casino_Championship_80,2004_wisconsin_challenge_series.html,review,
wisconsin-challenge-series,Wisconsin Challenge Series,2005,1,2005-04-09,9 April 2005,New Beginnings 100 presented by Pickett Septic,2005-new-beginnings-100-presented-by-pickett-septic,wisconsin-challenge-series-2005-01-new-beginnings-100-presented-by-pickett-septic,https://www.thethirdturn.com/wiki/2005_New_Beginnings_100_presented_by_Pickett_Septic,"Wisconsin Dells, WI",Dells Raceway Park,dells-raceway-park,dells-raceway-park-wi,mapped,https://www.thethirdturn.com/wiki/Dells_Raceway_Park,Charlie Menard,charlie-menard,charlie-menard,mapped,https://www.thethirdturn.com/wiki/Charlie_Menard,The Third Turn,https://www.thethirdturn.com/wiki/2005_New_Beginnings_100_presented_by_Pickett_Septic,2005_wisconsin_challenge_series.html,review,
wisconsin-challenge-series,Wisconsin Challenge Series,2005,2,2005-05-15,15 May 2005,Bud Spring Classic,2005-bud-spring-classic,wisconsin-challenge-series-2005-02-bud-spring-classic,https://www.thethirdturn.com/wiki/2005_Bud_Spring_Classic,"Kaukauna, WI",Wisconsin International Raceway,wisconsin-international-raceway,wisconsin-international-raceway-wi,mapped,https://www.thethirdturn.com/wiki/Wisconsin_International_Raceway,Nathan Haseleu,nathan-haseleu,nathan-haseleu,mapped,https://www.thethirdturn.com/wiki/Nathan_Haseleu,The Third Turn,https://www.thethirdturn.com/wiki/2005_Bud_Spring_Classic,2005_wisconsin_challenge_series.html,review,
